Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01371","Almonds, in shell","2022","2022","ha","36462","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01371","Almonds, in shell","2022","2022","kg/ha","1742","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01371","Almonds, in shell","2022","2022","t","63515","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01371","Almonds, in shell","2023","2023","ha","37000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01371","Almonds, in shell","2023","2023","kg/ha","1810.8","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01371","Almonds, in shell","2023","2023","t","67000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","ha","25403","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","kg/ha","704","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","t","17883.38","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","ha","25439","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","kg/ha","704","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","t","17908.59","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01341","Apples","2022","2022","ha","30163","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01341","Apples","2022","2022","kg/ha","10556","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01341","Apples","2022","2022","t","318402","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01341","Apples","2023","2023","ha","31000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01341","Apples","2023","2023","kg/ha","10451.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01341","Apples","2023","2023","t","324000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01343","Apricots","2022","2022","ha","26731","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01343","Apricots","2022","2022","kg/ha","6378.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01343","Apricots","2022","2022","t","170508","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01343","Apricots","2023","2023","ha","22008","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01343","Apricots","2023","2023","kg/ha","7062.4","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01343","Apricots","2023","2023","t","155429.38","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0115","Barley","2022","2022","ha","61952","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0115","Barley","2022","2022","kg/ha","1528.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2022","2022","t","94687","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0115","Barley","2023","2023","ha","80000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0115","Barley","2023","2023","kg/ha","1375","X","Figure from international organizations",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2023","2023","t","110000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","22249.01","Butter and ghee of sheep milk","2022","2022","t","3651.07","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","22241.01","Butter of cow milk","2022","2022","t","38918.07","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","22230.04","Buttermilk, dry","2022","2022","t","6219.68","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01229","Cantaloupes and other melons","2022","2022","ha","70902","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01229","Cantaloupes and other melons","2022","2022","kg/ha","10754.8","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01229","Cantaloupes and other melons","2022","2022","t","762542.69","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01229","Cantaloupes and other melons","2023","2023","ha","73628","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01229","Cantaloupes and other melons","2023","2023","kg/ha","10798.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01229","Cantaloupes and other melons","2023","2023","t","795100.45","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21512","Cattle fat, unrendered","2022","2022","t","1878.44","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21512","Cattle fat, unrendered","2022","2022","An","532738","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21512","Cattle fat, unrendered","2023","2023","t","1749.61","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21512","Cattle fat, unrendered","2023","2023","An","492797","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","22254","Cheese from milk of goats, fresh or processed","2022","2022","t","10648.14","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","22253","Cheese from milk of sheep, fresh or processed","2022","2022","t","9736.19","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01921.02","Cotton lint, ginned","2022","2022","t","23950","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0143","Cotton seed","2022","2022","t","47785.09","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","2168","Cottonseed oil","2022","2022","t","8290.89","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2022","2022","t","13438.07","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21151","Edible offal of cattle, fresh, chilled or frozen","2022","2022","An","532738","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2023","2023","t","12516.46","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21151","Edible offal of cattle, fresh, chilled or frozen","2023","2023","An","492797","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21156","Edible offal of goat, fresh, chilled or frozen","2022","2022","t","9126.15","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21156","Edible offal of goat, fresh, chilled or frozen","2022","2022","An","3619703","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21156","Edible offal of goat, fresh, chilled or frozen","2023","2023","t","9184.52","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21156","Edible offal of goat, fresh, chilled or frozen","2023","2023","An","3642792","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21155","Edible offal of sheep, fresh, chilled or frozen","2022","2022","t","20825","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21155","Edible offal of sheep, fresh, chilled or frozen","2022","2022","An","6700000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21155","Edible offal of sheep, fresh, chilled or frozen","2023","2023","t","20578.54","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21155","Edible offal of sheep, fresh, chilled or frozen","2023","2023","An","6461548","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21159.02","Edible offals of camels and other camelids, fresh, chilled or frozen","2022","2022","t","550.83","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21159.02","Edible offals of camels and other camelids, fresh, chilled or frozen","2022","2022","An","20401","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21159.02","Edible offals of camels and other camelids, fresh, chilled or frozen","2023","2023","t","551.76","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21159.02","Edible offals of camels and other camelids, fresh, chilled or frozen","2023","2023","An","20435","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21519.02","Fat of camels","2022","2022","t","257.05","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21519.02","Fat of camels","2022","2022","An","20401","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21519.02","Fat of camels","2023","2023","t","257.49","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21519.02","Fat of camels","2023","2023","An","20435","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01315","Figs","2022","2022","ha","9787","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01315","Figs","2022","2022","kg/ha","5929.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01315","Figs","2022","2022","t","58035.99","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01315","Figs","2023","2023","ha","10228","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01315","Figs","2023","2023","kg/ha","5929.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01315","Figs","2023","2023","t","60651.09","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21170.02","Game meat, fresh, chilled or frozen","2022","2022","t","8007.69","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21170.02","Game meat, fresh, chilled or frozen","2023","2023","t","8010.88","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21515","Goat fat, unrendered","2022","2022","t","1729.17","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21515","Goat fat, unrendered","2022","2022","An","3619703","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21515","Goat fat, unrendered","2023","2023","t","1740.22","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21515","Goat fat, unrendered","2023","2023","An","3642792","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","2022","2022","ha","92600","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","2022","2022","kg/ha","9825","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","2022","2022","t","909792","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","2023","2023","ha","93000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","2023","2023","kg/ha","11677.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","2023","2023","t","1086000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5413","Yield","0231","Hen eggs in shell, fresh","2022","2022","No/An","42","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5424","Yield/Carcass Weight","0231","Hen eggs in shell, fresh","2022","2022","g/An","2114","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0231","Hen eggs in shell, fresh","2022","2022","t","21452.97","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5513","Production","0231","Hen eggs in shell, fresh","2022","2022","1000 No","429059","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5313","Laying","0231","Hen eggs in shell, fresh","2022","2022","1000 An","10148","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5413","Yield","0231","Hen eggs in shell, fresh","2023","2023","No/An","42","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5424","Yield/Carcass Weight","0231","Hen eggs in shell, fresh","2023","2023","g/An","2113","E","Estimated value",""
